image_path,labels
garbage_classification\brown-glass\brown-glass40.jpg,brown-glass
garbage_classification\plastic\plastic91.jpg,plastic
garbage_classification\biological\biological895.jpg,biological
garbage_classification\plastic\plastic420.jpg,plastic
garbage_classification\white-glass\white-glass493.jpg,white-glass
garbage_classification\clothes\clothes2623.jpg,clothes
garbage_classification\clothes\clothes1679.jpg,clothes
garbage_classification\clothes\clothes21.jpg,clothes
garbage_classification\shoes\shoes1388.jpg,shoes
garbage_classification\clothes\clothes3591.jpg,clothes
garbage_classification\shoes\shoes1153.jpg,shoes
garbage_classification\white-glass\white-glass21.jpg,white-glass
garbage_classification\white-glass\white-glass678.jpg,white-glass
garbage_classification\shoes\shoes1965.jpg,shoes
garbage_classification\battery\battery897.jpg,battery
garbage_classification\clothes\clothes2001.jpg,clothes
garbage_classification\brown-glass\brown-glass313.jpg,brown-glass
garbage_classification\clothes\clothes3543.jpg,clothes
garbage_classification\biological\biological580.jpg,biological
garbage_classification\clothes\clothes1126.jpg,clothes
garbage_classification\green-glass\green-glass80.jpg,green-glass
garbage_classification\paper\paper229.jpg,paper
garbage_classification\metal\metal701.jpg,metal
garbage_classification\paper\paper209.jpg,paper
garbage_classification\clothes\clothes3467.jpg,clothes
garbage_classification\paper\paper974.jpg,paper
garbage_classification\clothes\clothes4943.jpg,clothes
garbage_classification\shoes\shoes592.jpg,shoes
garbage_classification\brown-glass\brown-glass425.jpg,brown-glass
garbage_classification\white-glass\white-glass340.jpg,white-glass
garbage_classification\paper\paper145.jpg,paper
garbage_classification\metal\metal609.jpg,metal
garbage_classification\clothes\clothes2163.jpg,clothes
garbage_classification\clothes\clothes4727.jpg,clothes
garbage_classification\battery\battery763.jpg,battery
garbage_classification\white-glass\white-glass627.jpg,white-glass
garbage_classification\biological\biological384.jpg,biological
garbage_classification\clothes\clothes2217.jpg,clothes
garbage_classification\white-glass\white-glass148.jpg,white-glass
garbage_classification\battery\battery38.jpg,battery
garbage_classification\shoes\shoes391.jpg,shoes
garbage_classification\paper\paper973.jpg,paper
garbage_classification\brown-glass\brown-glass79.jpg,brown-glass
